cycle_compare,taq,sample_name,distance
20to25,ACC,DA10040,0.813228
25to30,ACC,DA10040,0.127082
30to35,ACC,DA10040,0.093268
25to30,ACC,DA10001,0.515266
30to35,ACC,DA10001,0.066116
25to30,ACC,DA10016,0.155918
30to35,ACC,DA10016,0.107861
25to30,ACC,DA10029,0.812927
30to35,ACC,DA10029,0.284074
20to25,K,DA10001,0.439726
25to35,K,DA10001,0.110722
20to25,K,DA10040,0.671533
25to35,K,DA10040,0.244401
25to35,K,DA10016,0.341702
25to35,K,DA10029,0.404861
15to20,PHU,DA10029,0.995199
20to25,PHU,DA10029,0.892622
25to30,PHU,DA10029,0.133804
30to35,PHU,DA10029,0.286194
15to20,PHU,DA10040,0.975896
20to25,PHU,DA10040,0.302636
25to30,PHU,DA10040,0.417225
30to35,PHU,DA10040,0.250027
20to25,PHU,DA10001,0.446832
25to30,PHU,DA10001,0.364778
30to35,PHU,DA10001,0.233054
20to25,PHU,DA10016,0.838894
25to30,PHU,DA10016,0.29783
30to35,PHU,DA10016,0.165991
20to25,PL,DA10001,0.168808
25to30,PL,DA10001,0.332041
30to35,PL,DA10001,0.342498
20to25,PL,DA10016,0.719576
25to30,PL,DA10016,0.333159
30to35,PL,DA10016,0.283247
20to25,PL,DA10029,0.762026
25to30,PL,DA10029,0.366788
30to35,PL,DA10029,0.159225
20to25,PL,DA10040,0.403333
25to30,PL,DA10040,0.282486
30to35,PL,DA10040,0.193612
15to20,Q5,DA10016,0.633214
20to25,Q5,DA10016,0.398449
25to30,Q5,DA10016,0.128031
30to35,Q5,DA10016,0.179026
15to20,Q5,DA10040,0.717702
20to25,Q5,DA10040,0.174045
25to30,Q5,DA10040,0.204417
30to35,Q5,DA10040,0.175866
20to25,Q5,DA10001,0.512413
25to30,Q5,DA10001,0.173812
30to35,Q5,DA10001,0.181151
20to25,Q5,DA10029,0.85072
25to30,Q5,DA10029,0.111284
30to35,Q5,DA10029,0.144426
